name,sanskrit_name,level,type,description,duration_minutes,calories_burned_per_minute,goal_slug,youtube_link,thumbnail
Half Lotus Tree Pose,Ardha Padma Vrksasana,intermediate,standing,Half Lotus Tree Pose (Ardha Padma Vrksasana) is a intermediate standing pose that is balancing,8,3.5,maintenance,https://www.youtube.com/results?search_query=Ardha+Padma+Vrksasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960363/my_json_uploads/half-lotus-tree-poseardha-padma-vrksasana.jpg
High Lunge Pose,Utthita ashwa sanchalanasana,beginner,standing,High Lunge Pose (Utthita ashwa sanchalanasana) is a beginner standing pose that is balancing,8,5.5,weight_loss,https://www.youtube.com/results?search_query=Utthita+ashwa+sanchalanasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960363/my_json_uploads/high-lunge-poseutthita-ashwa-sanchalanasana.jpg
Equestrian Pose,Ashwa Sanchalanasana,beginner,standing,Equestrian Pose (Ashwa Sanchalanasana) is a beginner standing pose that is energizing,7,3.5,maintenance,https://www.youtube.com/results?search_query=Ashwa+Sanchalanasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960363/my_json_uploads/equestrian-poseashwa-sanchalanasana.jpg
Warrior 3,Virabhadrasana III,intermediate,standing,Warrior 3 (Virabhadrasana III) is a intermediate standing pose that is energizing,8,6,muscle_gain,https://www.youtube.com/results?search_query=Virabhadrasana+III+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960363/my_json_uploads/warrior-3virabhadrasana-iii.jpg
Standing Forward Pose,Uttanasana,beginner,forward-bend,Standing Forward Pose (Uttanasana) is a beginner forward-bend pose that is calming,7,3,maintenance,https://www.youtube.com/results?search_query=Uttanasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960363/my_json_uploads/standing-forward-benduttanasana.jpg
Head To Knee Pose,Janu Sirsasana,intermediate,forward-bend,Head To Knee Pose (Janu Sirsasana) is a intermediate forward-bend pose that is calming,8,2.5,maintenance,https://www.youtube.com/results?search_query=Janu+Sirsasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960363/my_json_uploads/head-to-knee-posejanu-sirsasana.jpg
Sage Marichi 1,Marichyasana I,intermediate,forward-bend,Sage Marichi 1 (Marichyasana I) is a intermediate forward-bend pose that is calming,8,3,maintenance,https://www.youtube.com/results?search_query=Marichyasana+I+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960364/my_json_uploads/sage-marichi-1-posemarichyasana-i.jpg
Wide Angle Seated Forward Bend,Upavistha Konasana,advanced,forward-bend,Wide Angle Seated Forward Bend (Upavistha Konasana) is a advanced forward-bend pose that is calming,8,2.5,maintenance,https://www.youtube.com/results?search_query=Upavistha+Konasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960365/my_json_uploads/wide-angle-seated-forward-bendupavistha-konasana.jpg
Pyramid Pose,Parsvottanasana,intermediate,forward-bend,Pyramid Pose (Parsvottanasana) is a intermediate forward-bend pose that is calming,8,4.5,muscle_gain,https://www.youtube.com/results?search_query=Parsvottanasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960364/my_json_uploads/pyramid-poseparsvottanasana.jpg
Half Bound Lotus Standing Forward Bend,Ardha Baddha Padmottanasana,advanced,forward-bend,Half Bound Lotus Standing Forward Bend (Ardha Baddha Padmottanasana) is a advanced forward-bend pose that is balancing,8,5,muscle_gain,https://www.youtube.com/results?search_query=Ardha+Baddha+Padmottanasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960364/my_json_uploads/half-lotus-forward-foldardha-baddha-padmottanasana.jpg
Locked Lotus Pose,Baddha Padmasana,advanced,forward-bend,Locked Lotus Pose (Baddha Padmasana) is a advanced forward-bend pose that is grounding,9,2.5,maintenance,https://www.youtube.com/results?search_query=Baddha+Padmasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960364/my_json_uploads/locked-lotus-posebaddha-padmasana.jpg
Reverse Prayer Pyramid,Parsvottanasana Paschima Namaskarasana,intermediate,forward-bend,Reverse Prayer Pyramid (Parsvottanasana Paschima Namaskarasana) is a intermediate forward-bend pose that is calming,8,4.5,muscle_gain,https://www.youtube.com/results?search_query=Parsvottanasana+Paschima+Namaskarasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960364/my_json_uploads/reverse-prayer-pyramidparsvottanasana-paschima-namaskarasana.jpg
Seated Forward Bend,Paschimottanasana,intermediate,forward-bend,Seated Forward Bend (Paschimottanasana) is a intermediate forward-bend pose that is calming,8,2.5,maintenance,https://www.youtube.com/results?search_query=Paschimottanasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960364/my_json_uploads/seated-forward-bendpaschimottanasana.jpg
Cobra Pose,Bhujangasana,intermediate,back-bend,Cobra Pose (Bhujangasana) is a intermediate back-bend pose that is energizing,7,3.5,maintenance,https://www.youtube.com/results?search_query=Bhujangasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960364/my_json_uploads/cobra-posebhujangasana.jpg
Bow Pose,Dhanurasana,intermediate,back-bend,Bow Pose (Dhanurasana) is a intermediate back-bend pose that is energizing,7,5.5,weight_loss,https://www.youtube.com/results?search_query=Dhanurasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960365/my_json_uploads/bow-posedhanurasana.jpg
King Pigeon Pose,Eka Pada Rajakapotasana,advanced,back-bend,King Pigeon Pose (Eka Pada Rajakapotasana) is a advanced back-bend pose that is energizing,9,4.5,muscle_gain,https://www.youtube.com/results?search_query=Eka+Pada+Rajakapotasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960365/my_json_uploads/king-pigeon-poseeka-pada-rajakapotasana.jpg
Camel Pose,Ustrasana,intermediate,back-bend,Camel Pose (Ustrasana) is a intermediate back-bend pose that is energizing,7,4.5,muscle_gain,https://www.youtube.com/results?search_query=Ustrasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960365/my_json_uploads/camel-poseustrasana.jpg
Bridge Pose,Sethu Bandha Sarvangasana,beginner,back-bend,Bridge Pose (Sethu Bandha Sarvangasana) is a beginner back-bend pose that is calming,8,4,muscle_gain,https://www.youtube.com/results?search_query=Sethu+Bandha+Sarvangasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960365/my_json_uploads/bridge-posesetu-bandha-sarvangasana.jpg
Reclined Hero Pose,Supta Virasana,intermediate,back-bend,Reclined Hero Pose (Supta Virasana) is a intermediate back-bend pose that is calming,10,2,maintenance,https://www.youtube.com/results?search_query=Supta+Virasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960365/my_json_uploads/reclined-hero-posesupta-virasana.jpg
Fish Pose,Matsyasana,intermediate,back-bend,Fish Pose (Matsyasana) is a intermediate back-bend pose that is calming,7,2.5,maintenance,https://www.youtube.com/results?search_query=Matsyasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960365/my_json_uploads/fish-posematsyasana.jpg
Raised Arm Pose,Hasta Uttanasana,intermediate,back-bend,Raised Arm Pose (Hasta Uttanasana) is a intermediate back-bend pose that is energizing,7,3,maintenance,https://www.youtube.com/results?search_query=Hasta+Uttanasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960365/my_json_uploads/raised-arm-posehasta-uttanasana.jpg
Wild Thing Pose,Camatkarasana,intermediate,back-bend,Wild Thing Pose (Camatkarasana) is a intermediate back-bend pose that is energizing,7,6,weight_loss,https://www.youtube.com/results?search_query=Camatkarasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960365/my_json_uploads/wild-thing-posecamatkarasana.jpg
Wheel Pose,Urdhva Dhanurasana,advanced,back-bend,Wheel Pose (Urdhva Dhanurasana) is a advanced back-bend pose that is energizing,7,7,weight_loss,https://www.youtube.com/results?search_query=Urdhva+Dhanurasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960366/my_json_uploads/wheel-poseurdhva-dhanurasana.jpg
Half Spinal Twist,Ardha Matsyendrasana,beginner,twist,Half Spinal Twist (Ardha Matsyendrasana) is a beginner twist pose that is calming,8,3,maintenance,https://www.youtube.com/results?search_query=Ardha+Matsyendrasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960366/my_json_uploads/half-spinal-twistardha-matsyendrasana.jpg
Sage Marichi 3,Marichyasana III,intermediate,twist,Sage Marichi 3 (Marichyasana III) is a intermediate twist pose that is calming,8,3,maintenance,https://www.youtube.com/results?search_query=Marichyasana+III+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960366/my_json_uploads/sage-marichi-3marichyasana-iii.jpg
Supine Spinal Twist,Supta Matsyendrasana,beginner,twist,Supine Spinal Twist (Supta Matsyendrasana) is a beginner twist pose that is calming,8,2.2,maintenance,https://www.youtube.com/results?search_query=Supta+Matsyendrasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960366/my_json_uploads/supine-spinal-twist-posesupta-matsyendrasana.jpg
Revolved Head To Knee Pose,Parivrtta Janu Sirsasana,intermediate,twist,Revolved Head To Knee Pose (Parivrtta Janu Sirsasana) is a intermediate twist pose that is calming,8,4.5,weight_loss,https://www.youtube.com/results?search_query=Parivrtta+Janu+Sirsasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960366/my_json_uploads/revolved-head-to-knee-poseparivrtta-janu-sirsasana.jpg
Lord Of The Fishes,Matsyendrasana,beginner,twist,Lord Of The Fishes (Matsyendrasana) is a beginner twist pose that is calming,8,3,maintenance,https://www.youtube.com/results?search_query=Matsyendrasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960366/my_json_uploads/lord-of-the-fishesmatsyendrasana.jpg
Downward Facing Dog,Adho Mukha Svanasana,beginner,inversion,Downward Facing Dog (Adho Mukha Svanasana) is a beginner inversion pose that is grounding,9,4.5,weight_loss,https://www.youtube.com/results?search_query=Adho+Mukha+Svanasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960366/my_json_uploads/downward-facing-dog-poseadho-mukha-svanasana.jpg
Plow Pose,Halasana,intermediate,inversion,Plow Pose (Halasana) is a intermediate inversion pose that is calming,8,2.5,maintenance,https://www.youtube.com/results?search_query=Halasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960367/my_json_uploads/plow-posehalasana.jpg
Shoulder Stand,Sarvangasana,intermediate,inversion,Shoulder Stand (Sarvangasana) is a intermediate inversion pose that is calming,10,3,maintenance,https://www.youtube.com/results?search_query=Sarvangasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960367/my_json_uploads/shoulder-standsarvangasana.jpg
Headstand Pose,Sirsasana,advanced,inversion,Headstand Pose (Sirsasana) is a advanced inversion pose that is energizing,10,5.5,muscle_gain,https://www.youtube.com/results?search_query=Sirsasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960366/my_json_uploads/headstand-posesirsasana.jpg
Half Headstand Pose,Urdhva Dandasana,advanced,inversion,Half Headstand Pose (Urdhva Dandasana) is a advanced inversion pose that is balancing,7,6,muscle_gain,https://www.youtube.com/results?search_query=Urdhva+Dandasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960367/my_json_uploads/half-headstand-poseurdhva-dandasana.jpg
Lotus Shoulderstand Pose,Padma Sarvangasana,advanced,inversion,Lotus Shoulderstand Pose (Padma Sarvangasana) is a advanced inversion pose that is calming,8,3.5,maintenance,https://www.youtube.com/results?search_query=Padma+Sarvangasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960367/my_json_uploads/lotus-shoulderstand-posepadma-sarvangasana.jpg
Super Fish Pose,Matsyasana variation,intermediate,inversion,Super Fish Pose (Matsyasana variation) is a intermediate inversion pose that is energizing,7,2.5,maintenance,https://www.youtube.com/results?search_query=Matsyasana+variation+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960367/my_json_uploads/super-fish-posematsyasana-variation.jpg
Supported Headstand Pose,Salamba Sirsasana,intermediate,inversion,Supported Headstand Pose (Salamba Sirsasana) is a intermediate inversion pose that is energizing,10,5.5,muscle_gain,https://www.youtube.com/results?search_query=Salamba+Sirsasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960367/my_json_uploads/supported-headstand-posesalamba-sirsasana.jpg
Plank Pose,Kumbhakasana,beginner,arm-balance,Plank Pose (Kumbhakasana) is a beginner arm-balance pose that is balancing,7,6,weight_loss,https://www.youtube.com/results?search_query=Kumbhakasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960367/my_json_uploads/plank-posekumbhakasana.jpg
Four-Limbed Staff Pose,Chaturanga Dandasana,intermediate,arm-balance,Four-Limbed Staff Pose (Chaturanga Dandasana) is a intermediate arm-balance pose that is balancing,7,7,muscle_gain,https://www.youtube.com/results?search_query=Chaturanga+Dandasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960367/my_json_uploads/chaturanga-posechaturanga-dandasana.jpg
Upward Facing Dog,Urdhva Mukha Svanasana,beginner,arm-balance,Upward Facing Dog (Urdhva Mukha Svanasana) is a beginner arm-balance pose that is energizing,7,4.5,muscle_gain,https://www.youtube.com/results?search_query=Urdhva+Mukha+Svanasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960368/my_json_uploads/upward-facing-dog-poseurdhva-mukha-svanasana.jpg
Side Plank Pose,Vasisthasana,beginner,arm-balance,Side Plank Pose (Vasisthasana) is a beginner arm-balance pose that is balancing,7,6.5,weight_loss,https://www.youtube.com/results?search_query=Vasisthasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960368/my_json_uploads/side-plank-posevasisthasana.jpg
Crane Pose,Bakasana,intermediate,arm-balance,Crane Pose (Bakasana) is a intermediate arm-balance pose that is balancing,7,7.5,muscle_gain,https://www.youtube.com/results?search_query=Bakasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960368/my_json_uploads/crane-posebakasana.jpg
Lotus Peacock Pose,Padma Mayurasana,advanced,arm-balance,Lotus Peacock Pose (Padma Mayurasana) is a advanced arm-balance pose that is balancing,7,8,muscle_gain,https://www.youtube.com/results?search_query=Padma+Mayurasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960368/my_json_uploads/lotus-peacock-posepadma-mayurasana.jpg
Eight Limbed Salutation,Ashtanga namaskara,intermediate,arm-balance,Eight Limbed Salutation (Ashtanga namaskara) is a intermediate arm-balance pose that is balancing,7,5,weight_loss,https://www.youtube.com/results?search_query=Ashtanga+namaskara+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960368/my_json_uploads/eight-limbed-salutationashtanga-namaskara.jpg
Child Pose,Balasana,beginner,restorative,Child Pose (Balasana) is a beginner restorative pose that is calming,10,1.5,maintenance,https://www.youtube.com/results?search_query=Balasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960368/my_json_uploads/child-posebalasana.jpg
Corpse Pose,Shavasana,beginner,restorative,Corpse Pose (Shavasana) is a beginner restorative pose that is calming,11,1.2,maintenance,https://www.youtube.com/results?search_query=Shavasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960368/my_json_uploads/corpse-poseshavasana.jpg
Reclining Bound Angle Pose,Supta Baddha konasana,beginner,restorative,Reclining Bound Angle Pose (Supta Baddha konasana) is a beginner restorative pose that is calming,10,1.8,maintenance,https://www.youtube.com/results?search_query=Supta+Baddha+konasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960368/my_json_uploads/reclining-bound-angle-posesupta-baddha-konasana.jpg
Garland Pose,Malasana,beginner,preparatory,Garland Pose (Malasana) is a beginner preparatory pose that is calming,8,4,weight_loss,https://www.youtube.com/results?search_query=Malasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960369/my_json_uploads/garland-posemalasana.jpg
Table Pose,Bharmanasana,beginner,preparatory,Table Pose (Bharmanasana) is a beginner preparatory pose that is grounding,7,2.5,maintenance,https://www.youtube.com/results?search_query=Bharmanasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960369/my_json_uploads/table-posebharmanasana.jpg
Cow Pose,Bitilasana,beginner,preparatory,Cow Pose (Bitilasana) is a beginner preparatory pose that is grounding,7,3,maintenance,https://www.youtube.com/results?search_query=Bitilasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960369/my_json_uploads/cow-posebitilasana.jpg
Cat Pose,Marjariasana,beginner,preparatory,Cat Pose (Marjariasana) is a beginner preparatory pose that is grounding,7,3,maintenance,https://www.youtube.com/results?search_query=Marjariasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960369/my_json_uploads/cat-posemarjariasana.jpg
