name,description,total_calories,protein_g,carbs_g,fats_g,goal_slug,meal_type_slug,category,youtube_link,thumbnail
Moong Dal Chilla with Curd,"2 gram flour crepes, 100g curd, mint chutney",340,18,38,12,muscle_gain,breakfast,veg,https://www.youtube.com/results?search_query=Moong+Dal+Chilla+with+Curd+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/94f89cc8ebf0c6a467741585b44c3016c4d1145b.jpg
Egg Bhurji & Roti,"2 eggs bhurji, 1 whole wheat roti, tomato slices",350,22,30,16,muscle_gain,breakfast,non-veg,https://www.youtube.com/results?search_query=Egg+Bhurji+%26+Roti+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/3dc16ecef3919746d92de1bd3088cbee4c57f310.jpg
Peanut Butter Banana Toast,"2 brown bread slices, 1 tbsp peanut butter, 1 banana",350,12,48,14,general_fitness,snack,veg,https://www.youtube.com/results?search_query=Peanut+Butter+Banana+Toast+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/13749aa379bb09b188cd66c132bd0e949fb7c9e4.jpg
Protein Smoothie (Milk + Banana + Peanut Butter),High protein smoothie with milk and peanut butter,360,16,40,14,muscle_gain,snack,veg,https://www.youtube.com/results?search_query=Protein+Smoothie+%28Milk+%2B+Banana+%2B+Peanut+Butter%29+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/5286533a5316fc45f7da7d4f5feb8dd35b94a681.jpg
Grilled Paneer & Veg Skewers,Skewers with paneer and mixed vegetables,380,20,25,18,muscle_gain,snack,veg,https://www.youtube.com/results?search_query=Grilled+Paneer+%26+Veg+Skewers+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/4c0eef0f298e817fcf52d03299100575de4156ef.jpg
Idli Sambar (3 pieces),"3 medium idlis, 1 bowl sambar, coconut chutney (1 tbsp)",380,12,55,10,general_fitness,breakfast,veg,https://www.youtube.com/results?search_query=Idli+Sambar+%283+pieces%29+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/6a282ba3443421edac14ab9df46d0081b45c5a2c.jpg
Ragi Porridge with Nuts,"Ragi (finger millet) cooked with milk, almonds, walnuts",380,12,50,14,weight_loss,breakfast,veg,https://www.youtube.com/results?search_query=Ragi+Porridge+with+Nuts+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/566c1a796e43bb08d769651e4c89c4d1cd28efce.jpg
Paratha (Aloo) with Curd & Pickle,"1 aloo paratha (no extra oil), 1 bowl curd, pickle",400,9,52,14,general_fitness,breakfast,veg,https://www.youtube.com/results?search_query=Paratha+%28Aloo%29+with+Curd+%26+Pickle+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/5fcb506eede8a162fbc0769b48b8011854e10669.jpg
Besan Cheela with Paneer Stuffing,2 besan crepes stuffed with crumbled paneer & onions,420,24,35,20,muscle_gain,breakfast,veg,https://www.youtube.com/results?search_query=Besan+Cheela+with+Paneer+Stuffing+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/c78341062038236a533cfa9cb5d72a656faa0c13.jpg
Paneer Stuffed Roti with Buttermilk,1 paneer stuffed roti with glass of chaas,420,20,45,16,muscle_gain,breakfast,veg,https://www.youtube.com/results?search_query=Paneer+Stuffed+Roti+with+Buttermilk+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/35304fed6f95ef72e08f037e1540552c15029027.jpg
Methi Thepla with Curd,2 methi theplas with bowl of curd,440,12,60,14,general_fitness,dinner,veg,https://www.youtube.com/results?search_query=Methi+Thepla+with+Curd+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/2604649d40c5759a04aefa2361365532942177d7.jpg
Methi Thepla with Curd,2 methi theplas with bowl of curd,440,12,60,14,general_fitness,dinner,veg,https://www.youtube.com/results?search_query=Methi+Thepla+with+Curd+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/2604649d40c5759a04aefa2361365532942177d7.jpg
Stuffed Baingan with Roti,"1 small stuffed brinjal, 2 wheat rotis",440,12,65,14,weight_loss,dinner,veg,https://www.youtube.com/results?search_query=Stuffed+Baingan+with+Roti+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/c5b9fbee52f326992e4cb5157718825c61aaeedf.jpg
Grilled Chicken Salad Bowl,"Grilled chicken with lettuce, cucumber, tomato",450,32,30,16,muscle_gain,lunch,non-veg,https://www.youtube.com/results?search_query=Grilled+Chicken+Salad+Bowl+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/1e7e68f5f8894e439a071b23dafc81d22685a4f7.jpg
Grilled Chicken Salad Bowl,"Grilled chicken with lettuce, cucumber, tomato",450,32,30,16,muscle_gain,lunch,non-veg,https://www.youtube.com/results?search_query=Grilled+Chicken+Salad+Bowl+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/1e7e68f5f8894e439a071b23dafc81d22685a4f7.jpg
Roti + Dal + Seasonal Sabzi (Lauki),"2 rotis, 1 bowl masoor dal, 1 bowl lauki sabzi",460,18,68,10,weight_loss,dinner,veg,https://www.youtube.com/results?search_query=Roti+%2B+Dal+%2B+Seasonal+Sabzi+%28Lauki%29+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/56f8e57c5bf849a4220705a7b64b540abb758ce0.jpg
Brown Rice Khichdi with Veggies,Light khichdi made with brown rice and dal,480,16,72,10,weight_loss,lunch,veg,https://www.youtube.com/results?search_query=Brown+Rice+Khichdi+with+Veggies+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/41ed6f68c6fdaaf6f0571b08748b1ecc858c4daf.jpg
Brown Rice Khichdi with Veggies,Light khichdi made with brown rice and dal,480,16,72,10,weight_loss,lunch,veg,https://www.youtube.com/results?search_query=Brown+Rice+Khichdi+with+Veggies+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/41ed6f68c6fdaaf6f0571b08748b1ecc858c4daf.jpg
Brown Rice Khichdi with Veggies,Light khichdi made with brown rice and dal,480,16,72,10,weight_loss,lunch,veg,https://www.youtube.com/results?search_query=Brown+Rice+Khichdi+with+Veggies+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/41ed6f68c6fdaaf6f0571b08748b1ecc858c4daf.jpg
Jowar Roti + Baingan Bharta + Sprouts,"2 jowar rotis, 1 bowl baingan bharta, 1 cup mixed sprouts salad",480,18,65,12,weight_loss,lunch,veg,https://www.youtube.com/results?search_query=Jowar+Roti+%2B+Baingan+Bharta+%2B+Sprouts+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/790882b3ad660bd50a8b2e99dbc7e04ded82d4e1.jpg
Roti + Lauki Kofta Curry,"2 rotis, 1 bowl lauki kofta (gravy base)",480,14,60,18,weight_loss,dinner,veg,https://www.youtube.com/results?search_query=Roti+%2B+Lauki+Kofta+Curry+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/5f12e9eca30bf092c7d58b12cdbb7471a9f26379.jpg
Veg Stir Fry with Tofu,Tofu stir fried with mixed vegetables,480,22,40,18,weight_loss,dinner,veg,https://www.youtube.com/results?search_query=Veg+Stir+Fry+with+Tofu+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/e9acd53871abcac167f2ef45a31ec2ee330fec89.jpg
Vegetable Khichdi with Raita,"1 bowl veg khichdi (light ghee), 1 bowl raita",480,14,70,12,weight_loss,dinner,veg,https://www.youtube.com/results?search_query=Vegetable+Khichdi+with+Raita+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/3a216565733e749a16b8d2958b534a1532ee60ae.jpg
Dal Palak with Roti & Salad,"Dal cooked with spinach, 2 rotis, salad",500,20,68,12,weight_loss,dinner,veg,https://www.youtube.com/results?search_query=Dal+Palak+with+Roti+%26+Salad+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/501ca2aa93c1c0de265021e4dc52bfaf51b91ba1.jpg
Dal Palak with Roti & Salad,"Dal cooked with spinach, 2 rotis, salad",500,20,68,12,weight_loss,dinner,veg,https://www.youtube.com/results?search_query=Dal+Palak+with+Roti+%26+Salad+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/501ca2aa93c1c0de265021e4dc52bfaf51b91ba1.jpg
Moong Dal Khichdi with Curd,"1 bowl moong dal khichdi, 150g curd",500,20,68,10,weight_loss,dinner,veg,https://www.youtube.com/results?search_query=Moong+Dal+Khichdi+with+Curd+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/7deb779861a0594c044d0274581b81ecbe747455.jpg
Stuffed Capsicum with Quinoa,Bell peppers stuffed with quinoa and veggies,500,18,60,14,weight_loss,lunch,veg,https://www.youtube.com/results?search_query=Stuffed+Capsicum+with+Quinoa+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/558caf07ce4a74a1faede52fb54c772cd9529f6a.jpg
Roti + Mix Veg + Dal Makhani (small),"1 roti, 1 bowl mix veg, ½ bowl dal makhani, salad",510,16,70,18,general_fitness,lunch,veg,https://www.youtube.com/results?search_query=Roti+%2B+Mix+Veg+%2B+Dal+Makhani+%28small%29+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/ac57f7dd3e6c16d4dbafe89bb9252e084b32fac0.jpg
Fish Fry (Shallow) with Salad,Lightly shallow fried fish with salad,520,34,25,22,muscle_gain,lunch,non-veg,https://www.youtube.com/results?search_query=Fish+Fry+%28Shallow%29+with+Salad+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/0bd1edb821734a23f11ee8edf28ba3d2a4cdfc88.jpg
Fish Fry (Shallow) with Salad,Lightly shallow fried fish with salad,520,34,25,22,muscle_gain,lunch,non-veg,https://www.youtube.com/results?search_query=Fish+Fry+%28Shallow%29+with+Salad+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/0bd1edb821734a23f11ee8edf28ba3d2a4cdfc88.jpg
Fish Tikka with Jowar Roti & Salad,"4 fish tikka pieces, 1 jowar roti, salad",520,40,45,15,muscle_gain,dinner,non-veg,https://www.youtube.com/results?search_query=Fish+Tikka+with+Jowar+Roti+%26+Salad+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/6840031be049a432dd08b69ac945840a2530110f.jpg
Grilled Fish with Sauteed Veggies,Grilled fish fillet with sauteed vegetables,520,36,30,20,muscle_gain,dinner,non-veg,https://www.youtube.com/results?search_query=Grilled+Fish+with+Sauteed+Veggies+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/5c301f6004818226528fe6653869592c647e4778.jpg
Lemon Rice with Peanuts & Curd,"1 bowl lemon rice, 30g peanuts, 1 bowl curd",520,15,68,20,weight_loss,lunch,veg,https://www.youtube.com/results?search_query=Lemon+Rice+with+Peanuts+%26+Curd+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/cc83bf1e00bf621e656e76945379091c0f8139e5.jpg
Mixed Dal Tadka with Roti,Mixed dal tadka with 2 rotis and salad,520,22,70,14,general_fitness,lunch,veg,https://www.youtube.com/results?search_query=Mixed+Dal+Tadka+with+Roti+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/1cd299033f52892a2520a64c344fed4dc9447d5e.jpg
Mixed Dal Tadka with Roti #28,Mixed dal tadka with 2 rotis and salad,520,22,70,14,general_fitness,lunch,veg,https://www.youtube.com/results?search_query=Mixed+Dal+Tadka+with+Roti+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/1cd299033f52892a2520a64c344fed4dc9447d5e.jpg
Roti + Dal + Bhindi Sabzi + Salad,"2 wheat rotis, 1 bowl toor dal, 1 bowl bhindi sabzi, cucumber salad",520,18,75,14,weight_loss,lunch,veg,https://www.youtube.com/results?search_query=Roti+%2B+Dal+%2B+Bhindi+Sabzi+%2B+Salad+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/e3e5169e79a1b1cce63dc945f46545b45e241d7a.jpg
Dal Fry with Jeera Rice & Salad,"1 bowl dal fry, 1 cup jeera rice, salad",530,16,78,12,general_fitness,dinner,veg,https://www.youtube.com/results?search_query=Dal+Fry+with+Jeera+Rice+%26+Salad+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/a0620ac7c9498bfe45abb8c75bd6a144bcb3e985.jpg
Quinoa Pulao with Paneer Tikka,"1 bowl quinoa pulao with veggies, 4 paneer tikka pieces",530,28,55,20,muscle_gain,lunch,veg,https://www.youtube.com/results?search_query=Quinoa+Pulao+with+Paneer+Tikka+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/e419fce69b93c934f78b5858684f73fdf469a1f1.jpg
Palak Paneer with Missi Roti,"2 missi rotis, 1 bowl palak paneer, onion slices",540,24,55,24,muscle_gain,dinner,veg,https://www.youtube.com/results?search_query=Palak+Paneer+with+Missi+Roti+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/46df4b843bc3f86924ee494df965f54e8a74d8d1.jpg
Fish Curry with Steamed Rice,"1 bowl Bengali fish curry, 1 cup rice, green beans",550,35,60,15,muscle_gain,lunch,non-veg,https://www.youtube.com/results?search_query=Fish+Curry+with+Steamed+Rice+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/7760760878deeed4795cc8704ef5033a595d6477.jpg
Veg Pulao with Boondi Raita,"1 bowl vegetable pulao, 1 bowl boondi raita",550,14,75,18,general_fitness,dinner,veg,https://www.youtube.com/results?search_query=Veg+Pulao+with+Boondi+Raita+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/3ecfcff3b0fdfadd07e59163140d7a90117152f6.jpg
Brown Rice + Rajma + Salad,"1 cup brown rice, 1 bowl rajma, onion-tomato salad",560,22,80,12,muscle_gain,lunch,veg,https://www.youtube.com/results?search_query=Brown+Rice+%2B+Rajma+%2B+Salad+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/b52b486c3f44c72f420118d46f7204382747a3ee.jpg
Dal Khichdi with Kadhi,"1 bowl moong dal khichdi, 1 bowl kadhi (yogurt curry)",560,20,78,14,weight_loss,lunch,veg,https://www.youtube.com/results?search_query=Dal+Khichdi+with+Kadhi+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/d8bbc895c209f5a3eff23895230d79b477c17c63.jpg
Egg Curry with Rice,"2 egg curry, 1 cup rice, sliced cucumber",560,25,62,20,muscle_gain,dinner,non-veg,https://www.youtube.com/results?search_query=Egg+Curry+with+Rice+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/0ab59724650e7a6e5abab28e0df95dca9a13014f.jpg
Kadhi Pakora with Steamed Rice,"1 bowl kadhi with 2 pakoras, 1 cup rice, salad",560,16,82,18,general_fitness,dinner,veg,https://www.youtube.com/results?search_query=Kadhi+Pakora+with+Steamed+Rice+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/9efd3eab0577888fea09497e1db8aee638128d88.jpg
Prawn Curry with Red Rice,Light prawn curry with 1 cup red rice,560,34,55,18,muscle_gain,dinner,non-veg,https://www.youtube.com/results?search_query=Prawn+Curry+with+Red+Rice+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/5fb6d9b030179b373c3ed4b5d40d22191c52f14f.jpg
Soya Chunks Curry with Rice,"1 bowl soya curry, 1 cup rice, sliced cucumber",560,30,70,14,muscle_gain,lunch,veg,https://www.youtube.com/results?search_query=Soya+Chunks+Curry+with+Rice+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/9b66d1a1fe301055752ac0f2694cd52d3f34ac24.jpg
Chicken Curry with Brown Rice,"1 bowl chicken curry, 1 cup brown rice, salad",580,38,55,18,muscle_gain,dinner,non-veg,https://www.youtube.com/results?search_query=Chicken+Curry+with+Brown+Rice+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/20f8f673f5c8cb52b47883142d5edf9085f9586c.jpg
Masala Dosa with Sambar,"1 medium masala dosa, 1 bowl sambar, chutney",580,14,88,14,general_fitness,lunch,veg,https://www.youtube.com/results?search_query=Masala+Dosa+with+Sambar+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/e46ee984f4f6cef7e338254d596aa0d2362b340b.jpg
Paneer Bhurji with Roti & Green Chutney,"2 rotis, 150g paneer bhurji, mint chutney",580,32,48,28,muscle_gain,lunch,veg,https://www.youtube.com/results?search_query=Paneer+Bhurji+with+Roti+%26+Green+Chutney+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/43d4484e52b0a4bc5d47c66e3abc00f4aca9f469.jpg
Plain Rice + Sambar + Papad,"1 cup steamed rice, 1 bowl sambar, roasted papad, pickle",580,14,90,10,general_fitness,lunch,veg,https://www.youtube.com/results?search_query=Plain+Rice+%2B+Sambar+%2B+Papad+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/daf0cc25e790c44e125cd3aec11e060e354d84c1.jpg
Chana Masala with Rice & Salad,"1 cup chana masala, 1 cup rice, mixed green salad",590,20,85,14,general_fitness,lunch,veg,https://www.youtube.com/results?search_query=Chana+Masala+with+Rice+%26+Salad+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/c4c2b3fdada8dceb1c5e9c470a6a0f7657007643.jpg
Chicken Biryani (light) with Raita,"1 cup chicken biryani (less oil), 1 bowl cucumber raita",620,35,70,18,muscle_gain,lunch,non-veg,https://www.youtube.com/results?search_query=Chicken+Biryani+%28light%29+with+Raita+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/e4a7cad2408d90be73e7d51624ab4d5fbf07b2dd.jpg
Chole with Bhature (small),"Small bhatura, 1 bowl chole, onion slices",620,18,80,22,general_fitness,dinner,veg,https://www.youtube.com/results?search_query=Chole+with+Bhature+%28small%29+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/ca8321417841958f8b20e58c02a630fc0c27a4f6.jpg
Paneer Lababdar with Roti,"1 bowl paneer lababdar, 2 wheat rotis",620,28,55,30,muscle_gain,dinner,veg,https://www.youtube.com/results?search_query=Paneer+Lababdar+with+Roti+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/e633f01bcae0e6e8ef80e3b257c415854e410bdf.jpg
"Veg Thali – Roti, Dal, Palak Paneer, Curd","2 rotis, 1 bowl dal, 1 bowl palak paneer, 100g curd",650,25,68,25,muscle_gain,lunch,veg,https://www.youtube.com/results?search_query=Veg+Thali+%E2%80%93+Roti%2C+Dal%2C+Palak+Paneer%2C+Curd+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/46df4b843bc3f86924ee494df965f54e8a74d8d1.jpg
Butter Chicken with Naan (1 piece),"1 small bowl butter chicken, 1 butter naan, onion salad",680,35,55,30,muscle_gain,dinner,non-veg,https://www.youtube.com/results?search_query=Butter+Chicken+with+Naan+%281+piece%29+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/efb351f0f76d2f9ffde77dceddda66d538331e39.jpg
